"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
35;"management";"single";"tertiary";"no";1045;"yes";"no";"cellular";17;"apr";204;5;-1;0;"unknown";"no"
35;"blue-collar";"married";"primary";"no";373;"no";"no";"cellular";17;"apr";335;2;-1;0;"unknown";"no"
37;"services";"divorced";"primary";"no";260;"yes";"no";"cellular";17;"apr";446;2;-1;0;"unknown";"no"
45;"blue-collar";"married";"unknown";"no";349;"yes";"no";"cellular";17;"apr";179;2;336;2;"other";"no"
36;"management";"married";"tertiary";"no";549;"yes";"no";"cellular";17;"apr";151;4;150;2;"failure";"no"
47;"management";"married";"tertiary";"no";6637;"yes";"no";"cellular";17;"apr";174;2;-1;0;"unknown";"no"
35;"services";"married";"unknown";"no";1935;"yes";"no";"cellular";17;"apr";97;2;318;2;"other";"no"
34;"admin.";"single";"secondary";"no";846;"yes";"no";"cellular";17;"apr";758;2;-1;0;"unknown";"no"
31;"technician";"single";"secondary";"no";579;"yes";"yes";"cellular";17;"apr";469;3;322;15;"other";"no"
36;"blue-collar";"married";"secondary";"no";1949;"yes";"no";"cellular";17;"apr";48;2;319;3;"failure";"no"
36;"blue-collar";"married";"secondary";"no";928;"no";"no";"cellular";17;"apr";224;3;-1;0;"unknown";"no"
46;"blue-collar";"married";"secondary";"no";961;"yes";"no";"telephone";17;"apr";48;2;-1;0;"unknown";"no"
35;"technician";"single";"secondary";"no";362;"yes";"no";"cellular";17;"apr";54;2;-1;0;"unknown";"no"
23;"technician";"single";"secondary";"no";28;"yes";"no";"cellular";17;"apr";183;3;325;2;"failure";"no"
40;"technician";"married";"secondary";"no";1270;"no";"no";"cellular";17;"apr";342;2;-1;0;"unknown";"no"
51;"blue-collar";"married";"secondary";"no";1329;"yes";"yes";"telephone";17;"apr";150;2;287;2;"failure";"no"
28;"services";"married";"secondary";"no";-112;"yes";"yes";"cellular";17;"apr";73;2;-1;0;"unknown";"no"
74;"retired";"married";"secondary";"no";921;"no";"no";"telephone";17;"apr";394;2;-1;0;"unknown";"yes"
32;"admin.";"married";"secondary";"no";923;"yes";"no";"cellular";17;"apr";819;4;-1;0;"unknown";"no"
35;"blue-collar";"married";"secondary";"no";1207;"yes";"no";"cellular";17;"apr";694;2;331;1;"success";"no"
42;"blue-collar";"married";"primary";"no";1673;"yes";"no";"cellular";17;"apr";636;3;-1;0;"unknown";"yes"
30;"blue-collar";"single";"secondary";"no";1012;"yes";"no";"cellular";17;"apr";22;3;329;1;"failure";"no"
40;"admin.";"married";"secondary";"no";1060;"yes";"no";"cellular";17;"apr";14;3;-1;0;"unknown";"no"
50;"blue-collar";"married";"primary";"no";104;"yes";"no";"cellular";17;"apr";317;3;324;2;"other";"no"
53;"technician";"married";"secondary";"no";5303;"yes";"no";"telephone";17;"apr";320;3;180;1;"success";"yes"
56;"blue-collar";"married";"secondary";"no";1686;"no";"no";"telephone";17;"apr";100;2;-1;0;"unknown";"no"
26;"admin.";"single";"secondary";"no";1375;"yes";"no";"cellular";17;"apr";238;2;-1;0;"unknown";"no"
29;"blue-collar";"married";"primary";"no";459;"yes";"yes";"cellular";17;"apr";202;3;318;1;"failure";"no"
33;"technician";"single";"tertiary";"no";1190;"yes";"no";"cellular";17;"apr";50;2;252;4;"failure";"no"
34;"blue-collar";"married";"secondary";"no";3186;"yes";"no";"cellular";17;"apr";321;2;-1;0;"unknown";"no"
40;"management";"married";"tertiary";"no";640;"yes";"no";"cellular";17;"apr";202;2;-1;0;"unknown";"no"
42;"blue-collar";"married";"primary";"no";2003;"yes";"no";"cellular";17;"apr";177;3;-1;0;"unknown";"no"
32;"admin.";"single";"secondary";"no";620;"no";"no";"cellular";17;"apr";211;2;343;3;"failure";"no"
37;"technician";"single";"tertiary";"no";6889;"yes";"no";"cellular";17;"apr";108;2;147;1;"failure";"no"
46;"services";"divorced";"secondary";"no";864;"yes";"no";"cellular";17;"apr";225;3;150;7;"failure";"no"
35;"entrepreneur";"single";"tertiary";"no";1295;"yes";"no";"cellular";17;"apr";952;2;73;1;"failure";"no"
47;"blue-collar";"married";"secondary";"no";1388;"yes";"no";"cellular";17;"apr";119;2;-1;0;"unknown";"no"
44;"blue-collar";"married";"primary";"no";-93;"yes";"no";"cellular";17;"apr";829;3;326;2;"failure";"no"
32;"blue-collar";"married";"primary";"no";1504;"yes";"no";"cellular";17;"apr";131;2;-1;0;"unknown";"no"
42;"admin.";"divorced";"tertiary";"no";6;"yes";"yes";"cellular";17;"apr";403;4;-1;0;"unknown";"no"
23;"admin.";"single";"secondary";"no";0;"yes";"no";"cellular";17;"apr";171;2;-1;0;"unknown";"no"
47;"blue-collar";"married";"secondary";"no";1203;"yes";"no";"cellular";17;"apr";239;2;-1;0;"unknown";"no"
